x,y,depth
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.800000000000000000e+02,1.140000000000000000e+02,1.347000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.630000000000000000e+02,1.160000000000000000e+02,1.316000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.610000000000000000e+02,1.180000000000000000e+02,1.540000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.830000000000000000e+02,1.180000000000000000e+02,1.520000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.590000000000000000e+02,1.190000000000000000e+02,1.332000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.850000000000000000e+02,1.200000000000000000e+02,1.327000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.550000000000000000e+02,1.260000000000000000e+02,1.540000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.530000000000000000e+02,1.280000000000000000e+02,1.353000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.310000000000000000e+02,1.342000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
1.910000000000000000e+02,1.340000000000000000e+02,1.493000000000000000e+03
